ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Cooling_Capacity_BTUperHour,Type,Reverse_Cycle,Casement_Window,Energy_Efficiency_Ratio,Combined_Energy_Efficiency_Ratio,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2293782,Coast air,CEW183AS,,18000,Window,No,None,,11.8,3/30/2017,3/31/2017,"United States, Canada",ES_17771_CEW183AS_04012017094052_9652451
2293780,Coast air,CEW243AS,,24000,Window,No,None,,10.3,3/30/2017,3/31/2017,"United States, Canada",ES_17771_CEW243AS_04012017094105_9665925
2254418,Comfort-Aire,BG-101P,,10000,Through the Wall,No,None,,10.6,12/1/2015,12/8/2015,"United States, Canada",ES_17771_BG-101P_12082015054251_3371109
2254414,Comfort-Aire,BG-103P,,10000,Through the Wall,No,None,,10.6,12/1/2015,12/8/2015,"United States, Canada",ES_17771_BG-103P_12082015054302_3382695
2254415,Comfort-Aire,BG-121P,,12000,Through the Wall,No,None,,10.5,12/1/2015,12/8/2015,"United States, Canada",ES_17771_BG-121P_12082015054314_3394225
2254417,Comfort-Aire,BG-123P,,12000,Through the Wall,No,None,,10.5,12/1/2015,12/8/2015,"United States, Canada",ES_17771_BG-123P_12082015054324_3404789
2254416,Comfort-Aire,BG-81P,,8000,Through the Wall,No,None,,10.6,12/1/2015,12/8/2015,"United States, Canada",ES_17771_BG-81P_12082015054338_3418471
2254430,Comfort-Aire,RADS-101P,,10000,Window,No,None,,12,12/1/2015,12/8/2015,"United States, Canada",ES_17771_RADS-101P_12082015054350_3430794
2254424,Comfort-Aire,RADS-121P,,12000,Window,No,None,,12,12/1/2015,12/8/2015,"United States, Canada",ES_17771_RADS-121P_12082015054406_3446965
2255161,Comfort-Aire,RADS-151P,,15100,Window,No,None,,11.8,12/1/2015,12/8/2015,"United States, Canada",ES_17771_RADS-151P_12082015054419_3459748
2254413,Comfort-Aire,RADS-183P,,18000,Window,No,None,,11.8,12/1/2015,12/8/2015,"United States, Canada",ES_17771_RADS-183P_12082015054433_3473722
2254412,Comfort-Aire,RADS-253P,,25000,Window,No,None,,10.3,12/1/2015,12/8/2015,"United States, Canada",ES_17771_RADS-253P_12082015054447_3487827
2254431,Comfort-Aire,RADS-51P,,5000,Window,No,None,,12.1,12/1/2015,12/8/2015,"United States, Canada",ES_17771_RADS-51P_12082015054500_3500524
2254420,Comfort-Aire,RADS-61P,,6000,Window,No,None,,12.1,12/1/2015,12/8/2015,"United States, Canada",ES_17771_RADS-61P_12082015054537_3537683
2254429,Comfort-Aire,RADS-81P,,8000,Window,No,None,,12,12/1/2015,12/8/2015,"United States, Canada",ES_17771_RADS-81P_12082015054550_3550069
2298994,Continental,CE-WAC108ES,,8000,Window,No,None,,12,7/5/2017,7/5/2017,United States,ES_1092528_CE-WAC108ES_07052017064211_6931309
2298995,Continental,CE-WAC110ES,,10000,Window,No,None,,12,7/5/2017,7/5/2017,United States,ES_1092528_CE-WAC110ES_07052017064138_6898199
2298996,Continental,CE-WAC121ES,",CE-WAC121ESW,",12000,Window,No,None,,12,7/5/2017,7/5/2017,United States,ES_1092528_CE-WAC121ES_07052017064106_6866586
2254433,Continental Electric,CE11085ES,,8000,Window,No,None,,12,12/7/2015,11/2/2015,United States,ES_1092528_CE11085ES_12072015113213_4963037
